Employee,Education,Grade,Years1,Years2,Age,Gender,PC Job,Salary,gender,PC Job,education_1,education_2,education_3,education_4
1,3,1,3,1,26,Male,No,"$32,000",1,0,0,0,1,0
2,1,1,14,1,38,Female,No,"$39,100",0,0,1,0,0,0
3,1,1,12,0,35,Female,No,"$33,200",0,0,1,0,0,0
4,2,1,8,7,40,Female,No,"$30,600",0,0,0,1,0,0
5,3,1,3,0,28,Male,No,"$29,000",1,0,0,0,1,0
6,3,1,3,0,24,Female,No,"$30,500",0,0,0,0,1,0
7,3,1,4,0,27,Female,No,"$30,000",0,0,0,0,1,0
8,3,1,8,2,33,Male,No,"$27,000",1,0,0,0,1,0
9,1,1,4,0,62,Female,No,"$34,000",0,0,1,0,0,0
10,3,1,9,0,31,Female,No,"$29,500",0,0,0,0,1,0
11,3,1,9,2,34,Female,No,"$26,800",0,0,0,0,1,0
12,2,1,8,8,37,Female,No,"$31,300",0,0,0,1,0,0
13,2,1,9,0,37,Female,No,"$31,200",0,0,0,1,0,0
14,2,1,10,6,58,Female,No,"$34,700",0,0,0,1,0,0
15,3,1,4,0,33,Female,No,"$30,000",0,0,0,0,1,0
16,3,1,3,0,27,Female,No,"$31,000",0,0,0,0,1,0
17,3,1,6,0,30,Female,No,"$27,000",0,0,0,0,1,0
18,2,1,8,9,37,Female,No,"$29,600",0,0,0,1,0,0
19,3,1,5,6,44,Female,No,"$32,600",0,0,0,0,1,0
20,2,1,4,3,29,Female,No,"$29,600",0,0,0,1,0,0
21,3,1,4,2,36,Female,No,"$29,500",0,0,0,0,1,0
22,2,1,3,3,28,Male,No,"$31,000",1,0,0,1,0,0
23,1,1,5,0,45,Female,No,"$28,500",0,0,1,0,0,0
24,2,1,3,4,33,Male,No,"$26,700",1,0,0,1,0,0
25,3,1,3,1,24,Male,No,"$30,750",1,0,0,0,1,0
26,3,1,3,1,27,Male,No,"$29,500",1,0,0,0,1,0
27,2,1,16,6,60,Female,No,"$42,200",0,0,0,1,0,0
28,1,1,13,0,48,Female,No,"$37,600",0,0,1,0,0,0
29,1,1,12,6,40,Female,No,"$34,000",0,0,1,0,0,0
30,2,1,4,7,33,Female,No,"$33,000",0,0,0,1,0,0
31,1,1,7,4,35,Female,No,"$28,760",0,0,1,0,0,0
32,1,1,11,0,44,Female,No,"$35,400",0,0,1,0,0,0
33,3,1,3,8,43,Male,No,"$31,000",1,0,0,0,1,0
34,2,1,18,2,46,Female,No,"$38,800",0,0,0,1,0,0
35,2,1,14,0,42,Female,No,"$34,300",0,0,0,1,0,0
36,1,1,19,0,47,Female,No,"$35,000",0,0,1,0,0,0
37,3,1,3,2,25,Female,Yes,"$34,600",0,1,0,0,1,0
38,2,1,2,4,30,Female,No,"$28,500",0,0,0,1,0,0
39,1,1,11,0,40,Female,No,"$29,500",0,0,1,0,0,0
40,3,1,3,2,26,Male,No,"$30,500",1,0,0,0,1,0
41,3,1,5,1,32,Female,No,"$34,200",0,0,0,0,1,0
42,1,1,15,0,51,Female,No,"$43,600",0,0,1,0,0,0
43,5,1,7,0,35,Female,Yes,"$33,500",0,1,0,0,0,0
44,3,1,12,1,37,Female,No,"$33,000",0,0,0,0,1,0
45,1,1,18,0,44,Female,No,"$45,300",0,0,1,0,0,0
46,1,1,17,3,53,Male,No,"$38,800",1,0,1,0,0,0
47,1,1,10,0,40,Female,No,"$29,900",0,0,1,0,0,0
48,3,1,5,10,51,Male,No,"$31,200",1,0,0,0,1,0
49,1,1,15,0,42,Female,No,"$34,000",0,0,1,0,0,0
50,2,1,2,0,53,Female,No,"$30,450",0,0,0,1,0,0
51,1,1,3,3,58,Male,No,"$35,500",1,0,1,0,0,0
52,1,1,4,10,44,Female,Yes,"$34,000",0,1,1,0,0,0
53,2,1,7,0,31,Female,No,"$29,100",0,0,0,1,0,0
54,1,1,8,0,64,Female,No,"$29,650",0,0,1,0,0,0
55,3,1,15,1,47,Female,No,"$29,200",0,0,0,0,1,0
56,3,1,9,0,37,Female,Yes,"$29,800",0,1,0,0,1,0
57,2,1,16,0,46,Female,No,"$33,500",0,0,0,1,0,0
58,1,1,8,0,55,Female,No,"$34,000",0,0,1,0,0,0
59,1,1,9,0,39,Female,No,"$29,600",0,0,1,0,0,0
60,3,1,18,0,51,Female,No,"$34,000",0,0,0,0,1,0
61,2,2,3,8,37,Female,No,"$37,250",0,0,0,1,0,0
62,2,2,6,3,30,Male,No,"$33,000",1,0,0,1,0,0
63,3,2,4,0,26,Female,No,"$28,600",0,0,0,0,1,0
64,5,2,5,1,41,Female,Yes,"$36,000",0,1,0,0,0,0
65,3,2,4,4,34,Female,Yes,"$37,300",0,1,0,0,1,0
66,2,2,7,4,57,Male,No,"$29,900",1,0,0,1,0,0
67,1,2,11,8,53,Female,No,"$31,500",0,0,1,0,0,0
68,3,2,5,4,32,Female,Yes,"$41,400",0,1,0,0,1,0
69,1,2,17,5,44,Female,No,"$32,740",0,0,1,0,0,0
70,3,2,3,1,25,Male,No,"$33,500",1,0,0,0,1,0
71,1,2,5,9,31,Female,No,"$32,000",0,0,1,0,0,0
72,1,2,9,0,50,Female,No,"$30,800",0,0,1,0,0,0
73,5,2,3,3,47,Female,Yes,"$42,000",0,1,0,0,0,0
74,3,2,4,0,35,Male,No,"$34,000",1,0,0,0,1,0
75,2,2,16,0,43,Female,No,"$32,500",0,0,0,1,0,0
76,2,2,9,10,46,Female,No,"$31,700",0,0,0,1,0,0
77,5,2,3,0,35,Male,No,"$36,500",1,0,0,0,0,0
78,3,2,4,0,22,Male,No,"$33,000",1,0,0,0,1,0
79,2,2,8,0,58,Female,No,"$31,200",0,0,0,1,0,0
80,5,2,8,0,40,Female,No,"$34,000",0,0,0,0,0,0
81,3,2,6,0,30,Female,No,"$33,000",0,0,0,0,1,0
82,5,2,4,4,29,Female,No,"$33,900",0,0,0,0,0,0
83,1,2,3,9,31,Female,Yes,"$39,000",0,1,1,0,0,0
84,2,2,12,18,52,Male,No,"$34,920",1,0,0,1,0,0
85,5,2,3,5,33,Male,No,"$39,000",1,0,0,0,0,0
86,1,2,8,0,49,Female,No,"$34,000",0,0,1,0,0,0
87,2,2,6,7,34,Female,No,"$31,900",0,0,0,1,0,0
88,5,2,3,1,26,Male,No,"$37,000",1,0,0,0,0,0
89,5,2,4,0,28,Male,No,"$34,000",1,0,0,0,0,0
90,5,2,3,2,35,Female,No,"$36,400",0,0,0,0,0,0
91,1,2,15,1,47,Female,Yes,"$38,200",0,1,1,0,0,0
92,1,2,15,0,51,Female,No,"$35,300",0,0,1,0,0,0
93,3,2,3,2,26,Male,No,"$34,500",1,0,0,0,1,0
94,3,2,12,0,33,Female,No,"$30,500",0,0,0,0,1,0
95,4,2,2,2,27,Male,No,"$30,000",1,0,0,0,0,1
96,5,2,8,0,34,Female,Yes,"$37,300",0,1,0,0,0,0
97,4,2,5,0,29,Female,No,"$40,200",0,0,0,0,0,1
98,3,2,5,0,27,Male,No,"$35,500",1,0,0,0,1,0
99,1,2,11,0,43,Female,No,"$35,000",0,0,1,0,0,0
100,3,2,4,3,36,Female,No,"$38,000",0,0,0,0,1,0
101,1,2,9,0,38,Female,No,"$35,300",0,0,1,0,0,0
102,2,2,14,0,60,Female,No,"$34,100",0,0,0,1,0,0
103,3,3,4,5,43,Female,Yes,"$43,200",0,1,0,0,1,0
104,2,3,15,5,48,Female,No,"$36,100",0,0,0,1,0,0
105,5,3,7,3,32,Female,No,"$34,600",0,0,0,0,0,0
106,3,3,5,0,31,Male,No,"$36,000",1,0,0,0,1,0
107,5,3,7,2,29,Female,No,"$36,200",0,0,0,0,0,0
108,3,3,7,0,35,Female,No,"$37,500",0,0,0,0,1,0
109,3,3,4,12,37,Female,No,"$41,000",0,0,0,0,1,0
110,2,3,10,0,43,Female,No,"$35,600",0,0,0,1,0,0
111,3,3,5,5,33,Female,No,"$39,800",0,0,0,0,1,0
112,4,3,11,4,58,Female,Yes,"$41,300",0,1,0,0,0,1
113,3,3,9,7,44,Female,No,"$42,500",0,0,0,0,1,0
114,3,3,4,8,37,Female,Yes,"$45,800",0,1,0,0,1,0
115,5,3,5,6,48,Female,No,"$34,900",0,0,0,0,0,0
116,5,3,4,0,26,Male,No,"$41,500",1,0,0,0,0,0
117,3,3,5,0,25,Female,No,"$38,000",0,0,0,0,1,0
118,4,3,6,0,38,Female,No,"$35,000",0,0,0,0,0,1
119,3,3,6,0,41,Female,No,"$40,000",0,0,0,0,1,0
120,3,3,5,0,29,Male,No,"$36,000",1,0,0,0,1,0
121,2,3,9,0,59,Female,No,"$33,700",0,0,0,1,0,0
122,2,3,5,4,29,Male,No,"$36,300",1,0,0,1,0,0
123,3,3,3,2,27,Female,Yes,"$38,000",0,1,0,0,1,0
124,5,3,4,0,30,Female,No,"$39,500",0,0,0,0,0,0
125,2,3,7,5,34,Female,No,"$36,300",0,0,0,1,0,0
126,3,3,8,2,35,Female,No,"$32,500",0,0,0,0,1,0
127,2,3,12,6,50,Female,No,"$37,000",0,0,0,1,0,0
128,5,3,3,1,33,Female,No,"$32,600",0,0,0,0,0,0
129,3,3,4,0,26,Female,No,"$36,000",0,0,0,0,1,0
130,5,3,3,0,36,Female,No,"$35,000",0,0,0,0,0,0
131,5,3,3,5,33,Female,Yes,"$43,600",0,1,0,0,0,0
132,3,3,8,0,47,Female,No,"$33,800",0,0,0,0,1,0
133,1,3,21,0,51,Female,No,"$35,300",0,0,1,0,0,0
134,1,3,16,6,42,Female,No,"$42,400",0,0,1,0,0,0
135,5,3,5,0,31,Male,No,"$39,500",1,0,0,0,0,0
136,2,3,25,10,62,Female,No,"$43,500",0,0,0,1,0,0
137,5,3,6,1,46,Male,No,"$42,000",1,0,0,0,0,0
138,3,3,21,9,60,Female,No,"$40,300",0,0,0,0,1,0
139,4,3,6,5,43,Male,No,"$44,000",1,0,0,0,0,1
140,1,3,25,2,53,Female,No,"$40,660",0,0,1,0,0,0
141,3,3,13,1,38,Female,No,"$39,700",0,0,0,0,1,0
142,5,3,6,5,39,Female,No,"$45,000",0,0,0,0,0,0
143,5,3,7,0,35,Female,No,"$43,900",0,0,0,0,0,0
144,4,3,8,3,40,Female,No,"$38,000",0,0,0,0,0,1
145,5,3,5,3,32,Female,No,"$39,020",0,0,0,0,0,0
146,5,4,5,3,33,Male,No,"$44,500",1,0,0,0,0,0
147,5,4,4,1,30,Male,No,"$41,000",1,0,0,0,0,0
148,5,4,6,3,37,Male,No,"$44,000",1,0,0,0,0,0
149,5,4,6,0,30,Male,No,"$44,000",1,0,0,0,0,0
150,5,4,5,4,32,Female,No,"$42,500",0,0,0,0,0,0
151,5,4,7,3,37,Female,No,"$40,260",0,0,0,0,0,0
152,5,4,5,1,29,Male,No,"$44,500",1,0,0,0,0,0
153,1,4,13,9,50,Female,No,"$35,500",0,0,1,0,0,0
154,5,4,6,0,29,Male,No,"$42,500",1,0,0,0,0,0
155,5,4,7,0,32,Female,No,"$44,000",0,0,0,0,0,0
156,5,4,6,2,31,Male,No,"$45,000",1,0,0,0,0,0
157,2,4,15,4,47,Female,No,"$44,400",0,0,0,1,0,0
158,3,4,17,0,44,Female,No,"$38,000",0,0,0,0,1,0
159,5,4,4,0,27,Male,No,"$41,800",1,0,0,0,0,0
160,1,4,23,0,55,Male,No,"$45,500",1,0,1,0,0,0
161,3,4,5,4,52,Male,No,"$42,500",1,0,0,0,1,0
162,5,4,3,12,50,Female,No,"$44,000",0,0,0,0,0,0
163,3,4,19,8,59,Female,Yes,"$54,300",0,1,0,0,1,0
164,3,4,26,0,47,Female,No,"$44,800",0,0,0,0,1,0
165,3,4,6,4,43,Male,No,"$47,000",1,0,0,0,1,0
166,5,4,15,0,41,Female,No,"$43,800",0,0,0,0,0,0
167,1,4,12,4,39,Female,Yes,"$48,000",0,1,1,0,0,0
168,5,4,9,0,39,Female,No,"$42,700",0,0,0,0,0,0
169,3,4,14,1,40,Female,Yes,"$48,500",0,1,0,0,1,0
170,3,4,16,0,49,Female,No,"$42,000",0,0,0,0,1,0
171,2,4,16,1,53,Female,No,"$45,500",0,0,0,1,0,0
172,3,4,11,0,37,Female,No,"$44,500",0,0,0,0,1,0
173,2,4,13,2,40,Female,No,"$51,200",0,0,0,1,0,0
174,5,5,7,0,34,Male,No,"$47,500",1,0,0,0,0,0
175,5,5,8,0,37,Female,No,"$44,500",0,0,0,0,0,0
176,5,5,8,0,31,Male,No,"$47,000",1,0,0,0,0,0
177,5,5,6,10,41,Male,No,"$47,000",1,0,0,0,0,0
178,3,5,17,4,46,Female,No,"$43,100",0,0,0,0,1,0
179,5,5,8,2,37,Male,No,"$49,000",1,0,0,0,0,0
180,5,5,8,0,33,Male,No,"$48,500",1,0,0,0,0,0
181,3,5,8,5,35,Female,No,"$45,000",0,0,0,0,1,0
182,5,5,16,5,49,Female,No,"$52,500",0,0,0,0,0,0
183,5,5,6,2,33,Male,No,"$47,500",1,0,0,0,0,0
184,5,5,7,0,31,Male,No,"$48,000",1,0,0,0,0,0
185,5,5,8,4,49,Male,No,"$46,500",1,0,0,0,0,0
186,5,5,12,2,40,Female,No,"$61,500",0,0,0,0,0,0
187,5,5,9,2,37,Female,No,"$50,000",0,0,0,0,0,0
188,5,5,12,2,46,Female,No,"$61,800",0,0,0,0,0,0
189,4,5,16,0,43,Female,No,"$43,000",0,0,0,0,0,1
190,5,5,11,1,36,Male,No,"$47,000",1,0,0,0,0,0
191,5,5,9,6,37,Female,No,"$58,500",0,0,0,0,0,0
192,5,5,16,7,40,Male,No,"$55,000",1,0,0,0,0,0
193,3,5,24,3,54,Male,No,"$57,000",1,0,0,0,1,0
194,5,5,17,1,57,Male,No,"$57,000",1,0,0,0,0,0
195,5,6,14,0,49,Male,No,"$60,000",1,0,0,0,0,0
196,3,6,13,0,41,Male,No,"$60,000",1,0,0,0,1,0
197,5,6,19,4,59,Male,No,"$59,000",1,0,0,0,0,0
198,5,6,12,0,51,Male,No,"$60,000",1,0,0,0,0,0
199,5,6,20,0,45,Male,No,"$65,000",1,0,0,0,0,0
200,5,6,20,1,56,Male,No,"$52,000",1,0,0,0,0,0
201,5,6,22,0,57,Male,No,"$58,000",1,0,0,0,0,0
202,4,6,21,0,53,Male,No,"$60,000",1,0,0,0,0,1
203,5,6,39,0,65,Male,No,"$74,000",1,0,0,0,0,0
204,3,6,34,0,60,Male,No,"$95,000",1,0,0,0,1,0
205,5,6,36,0,61,Male,No,"$97,000",1,0,0,0,0,0
206,5,6,32,0,62,Male,No,"$88,000",1,0,0,0,0,0
207,5,6,35,0,59,Male,No,"$94,000",1,0,0,0,0,0
208,5,6,33,0,62,Female,No,"$30,000",0,0,0,0,0,0
